CalDateValue,JourneyRef,VehicleRef,Driver
20201101,227037,8829,171-1111
20201101,707026,1772,170-1111
20201101,147042,8854,171-1111
20201101,757005,1626,170-1111
20201101,207025,8737,171-1111
20201101,37044,8708,171-1111
20201101,27044,1568,170-1111
20201101,727012,1635,170-1111
20201101,467010,1603,170-1111
20201101,257040,8740,171-1111
20201101,237036,1600,170-1111
20201101,707023,1782,170-1111
20201101,457038,8813,171-1111
20201101,27045,1571,170-1111
20201101,787008,2096,170-1111
20201101,107037,1696,170-1111
20201101,107038,1701,170-1111
20201101,147033,8826,171-1111
20201101,117037,8864,171-1111
20201101,287025,8796,171-1111
20201101,127038,8761,171-1111
20201101,727012,1635,170-1111
20201101,407033,8721,171-1111
20201101,777005,1638,170-1111
20201101,797013,8815,171-1111
20201101,827043,1873,170-1111
20201101,417021,8814,171-1111
20201101,137026,8833,171-1111
20201101,407040,8735,171-1111
20201101,747011,1862,170-1111
20201101,167013,2162,170-1111
20201101,117038,8856,171-1111
20201101,127037,8767,171-1111
20201101,257037,8736,171-1111
20201101,217026,8803,171-1111
20201101,227038,8837,171-1111
20201101,437015,8789,171-1111
20201101,17045,1569,170-1111
20201101,427040,8811,171-1111
20201101,237037,1596,170-1111
20201101,137025,8838,171-1111
20201101,457039,8816,171-1111
20201101,447010,8817,171-1111
20201101,167014,1602,170-1111
20201101,37046,8705,171-1111
20201101,407042,8721,171-1111
20201101,267015,8810,171-1111
20201101,427042,8807,171-1111
20201101,417018,8814,171-1111
20201101,17046,1561,170-1111
20201101,417018,8814,171-1111
20201101,147044,8828,171-1111
20201101,117039,8836,171-1111
20201101,107039,1699,170-1111
20201101,457040,8798,171-1111
20201101,37045,8707,171-1111
20201101,437016,8789,171-1111
20201101,147035,8868,171-1111
20201101,107040,1702,170-1111
20201101,447013,8817,171-1111
20201101,227039,8841,171-1111
20201101,127040,8764,171-1111
20201101,707028,1778,170-1111
20201101,707028,1778,170-1111
20201101,27047,1535,170-1111
20201101,207028,8742,171-1111
20201101,207027,8743,171-1111
20201101,707028,1778,170-1111
20201101,117042,8869,171-1111
20201101,407035,8735,171-1111
20201101,257042,8744,171-1111
20201101,117040,8866,171-1111
20201101,427037,8811,171-1111
20201101,467015,1603,170-1111
20201101,17048,1577,170-1111
20201101,127039,8762,171-1111
20201101,257039,8724,171-1111
20201101,237039,1617,170-1111
20201101,227040,8827,171-1111
20201101,237038,1616,170-1111
20201101,457041,8813,171-1111
20201101,287028,8796,171-1111
20201101,27046,1565,170-1111
20201101,107042,1703,170-1111
20201101,727015,1635,170-1111
20201101,217027,8803,171-1111
20201101,37048,8713,171-1111
20201101,17047,1553,170-1111
20201101,457042,8816,171-1111
20201101,227041,8847,171-1111
20201101,137028,8865,171-1111
20201101,27048,1549,170-1111
20201101,107041,1700,170-1111
20201101,707025,1776,170-1111
20201101,37047,8708,171-1111
20201101,417023,8814,171-1111
20201101,747014,1862,170-1111
20201101,147037,8872,171-1111
20201101,797012,8815,171-1111
20201101,427039,8807,171-1111
20201101,27049,1573,170-1111
20201101,827048,2133,170-1111
20201101,137030,8838,171-1111
20201101,137027,8833,171-1111
20201101,137030,8838,171-1111
20201101,117041,8830,171-1111
20201101,787007,2096,170-1111
20201101,127042,8770,171-1111
20201101,407037,8721,171-1111
20201101,457043,8798,171-1111
20201101,407044,8735,171-1111
20201101,227042,8829,171-1111
20201101,147039,8854,171-1111
20201101,267018,8810,171-1111
20201101,127041,8761,171-1111
20201101,207030,8737,171-1111
20201101,257044,8722,171-1111
20201101,437017,8789,171-1111
20201101,707030,1784,170-1111
20201101,237041,1600,170-1111
20201101,427044,8811,171-1111
20201101,37050,8714,171-1111
20201101,237040,1596,170-1111
20201101,417020,8812,171-1111
20201101,147046,8826,171-1111
20201101,257041,8740,171-1111
20201101,17049,1570,170-1111
20201101,207029,8727,171-1111
20201101,427046,8807,171-1111
20201101,17050,1548,170-1111
20201101,447012,8814,171-1111
20201101,107043,1701,170-1111
20201101,27051,1534,170-1111
20201101,467012,1603,170-1111
20201101,107044,1696,170-1111
20201101,437018,8789,171-1111
20201101,37049,8705,171-1111
20201101,457044,8813,171-1111
20201101,707027,1772,170-1111
20201101,167015,1597,170-1111
20201101,827051,2133,170-1111
20201101,117043,8856,171-1111
20201101,227043,8837,171-1111
20201101,167016,2162,170-1111
20201101,727014,1635,170-1111
20201101,127044,8767,171-1111
20201101,797015,8815,171-1111
20201101,227044,8841,171-1111
20201101,407039,8735,171-1111
20201101,407046,8721,171-1111
20201101,287029,8796,171-1111
20201101,457045,8816,171-1111
20201101,117044,8864,171-1111
20201101,427041,8811,171-1111
20201101,127043,8764,171-1111
20201101,217030,8803,171-1111
20201101,167015,1602,170-1111
